group_1,group_2,taxon,CH_002_BS,CH_007_BE,CH_009_SO,CH_011_SO,CH_012_OW,CH_014_LU,CH_015_VS,CH_016_VS,CH_017_VS,CH_018_VS,CH_020_VD,CH_021_VD,CH_022_VD,CH_023_SG,CH_025_SG,CH_026_SG,CH_027_SG,CH_028_SG,CH_032_AG,CH_033_AG,CH_034_AG,CH_035_AG,CH_036_AG,CH_039_AG,CH_040_ZH,CH_041_ZH,CH_042_ZH,CH_043_ZH,CH_044_ZH,CH_045_ZH,CH_046_ZH,CH_047_ZH,CH_048_ZH,CH_049_ZH,CH_050_ZH,CH_054_FR,CH_056_BE,CH_058_BE,CH_059_BE,CH_060_BE,CH_062_BE,CH_063_BE,CH_065_ZH,CH_066_ZH,CH_067_BL,CH_068_JU,CH_069_JU,CH_070_TG,CH_071_TG,CH_072_TG,CH_073_TG,CH_074_NW,CH_075_ZG,CH_076_ZG,CH_079_AG,CH_084_JU,CH_085_NE,CH_086_GE,CH_087_JU,CH_088_JU,CH_089_SO,CH_091_GR,CH_092_BE,CH_093_LU,CH_094_BE,CH_095_GR,CH_098_TI,CH_099_TI,CH_100_SZ,CH_101_UR,CH_106_BE,CH_107_FR,CH_111_AG,CH_114_BE,CH_115_AI,CH_116_LU,CH_119_NE,CH_123_TI,CH_126_VD,CH_127_VD,CH_128_VD,CH_129_VD,CH_130_VD,CH_131_VD,CH_132_VD,CH_133_BE,CH_134_BE,CH_135_AR,CH_136_AG,CH_137_AG,CH_138_BE,CH_139_BE,CH_140_FR,CH_141_JU,CH_143_SG,CH_144_SG,CH_145_SH,CH_146_SH,CH_147_TG,CH_148_TG,CH_149_TI,CH_150_VD,CH_151_VD,CH_152_VS,CH_153_NE,CH_154_LU
ARTHROPODA,Branchiopoda,Branchiopoda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
ARTHROPODA,Amphipoda,Corophiidae*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHROPODA,Amphipoda,Gammaridae,903,400,1500,190,0,0,0,0,25,5,776,245,8,0,0,0,0,0,275,50,124,220,1,198,49,120,51,135,6,0,21,0,0,8,12,504,0,2284,590,2,6800,670,8,7,30,470,190,0,0,120,45,14,50,50,14,360,107,65,1400,160,1436,500,7,16,1284,0,0,0,46,0,306,48,460,10,8,506,4355,0,15,74,501,597,207,0,5,14,1700,0,210,20,841,1497,970,320,4,133,0,0,336,35,24,147,261,32,50,910
ARTHROPODA,Amphipoda,Niphargidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHROPODA,Isopoda,Asellidae,6,3,38,0,1,100,0,0,0,0,11,27,35,0,0,0,0,3,2,0,3,0,15,0,3,5,1,3,22,1,49,1,0,2,0,0,0,0,1,0,0,2,0,0,5,4,0,2,3,3,8,0,3,3,0,7,0,0,10,3,66,0,0,1,0,0,0,0,2,0,0,0,1,0,0,6,2,0,0,47,0,0,0,0,0,0,0,0,14,1,1,0,0,0,98,20,15,0,7,10,5,0,0,10,0,9
ARTHROPODA,Isopoda,Janiridae*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHROPODA,Mysida,Mysidae*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHROPODA,Decapoda,Astacidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHROPODA,Decapoda,Cambaridae*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHROPODA,Ephemeroptera,Ameletidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHROPODA,Ephemeroptera,Baetidae ,51,48,178,275,14,794,390,118,57,392,238,45,466,822,421,513,296,785,43,55,238,837,174,117,2,75,16,117,0,16,93,21,81,33,86,188,150,106,61,264,115,34,164,59,52,815,368,116,234,76,0,173,270,236,233,262,119,20,444,167,200,256,124,137,440,54,57,155,399,167,317,276,135,120,268,153,150,215,520,31,728,234,73,70,187,404,768,233,1260,761,81,14,68,63,172,91,8,102,7,96,78,666,32,0,5,300
ARTHROPODA,Ephemeroptera,Caenidae,9,6,36,0,2,2,0,0,0,0,1,0,42,1,20,692,2,110,0,0,0,0,442,0,0,46,6,3,0,0,14,66,0,0,200,0,0,0,6,0,0,0,0,2,2,13,0,1480,27,432,0,0,4,0,0,477,0,0,0,40,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706,0,0,27,1,1,0,0,0,0
ARTHROPODA,Ephemeroptera,Ephemerellidae,0,0,3,76,4,40,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,1,1,3,0,12,0,12,0,2,0,0,0,11,0,0,0,59,0,3,32,0,3,0,4,66,169,8,0,1,0,0,6,1,21,87,0,0,81,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,212,0,0,0,0,0,0,16,0,0,3,0,0,0,4,0,0,2,0,0,0,26,5,0,0,0,23
ARTHROPODA,Ephemeroptera,Ephemeridae,2,16,0,24,0,0,0,0,0,0,0,0,1,0,0,1,2,0,11,0,0,0,2,0,0,8,5,1,0,0,0,2,0,0,0,0,0,0,2,15,0,0,0,25,0,8,110,1,21,11,0,0,0,5,0,12,12,0,24,21,1,0,0,7,0,0,0,0,0,0,8,5,2,2,0,4,0,0,11,0,1,0,0,0,0,0,1,0,1,0,0,0,0,45,0,0,0,2,0,0,0,152,0,0,0,1
ARTHROPODA,Ephemeroptera,Heptageniidae,8,37,0,69,0,22,6,1,0,0,0,0,0,0,120,324,316,40,4,0,0,0,5,0,0,2,0,16,0,2,0,0,5,0,20,4,16,10,19,142,1,6,65,15,0,241,123,0,1,36,0,17,2,12,0,0,81,5,88,4,1,108,64,246,19,32,8,294,144,10,25,254,32,151,72,6,0,195,1,1,10,27,23,27,2,26,173,74,0,261,8,0,17,236,0,0,0,0,0,11,4,66,12,0,0,12
ARTHROPODA,Ephemeroptera,Leptophlebiidae,75,5,0,160,3,0,0,0,0,0,0,1,0,1,4,1,6,5,35,0,0,0,3,0,0,5,3,0,0,0,0,0,1,0,2,7,0,0,3,0,0,2,6,27,3,29,160,1,4,27,0,0,0,1,0,0,54,0,18,0,9,0,0,8,1,0,0,0,0,0,0,5,2,17,10,13,0,10,0,0,2,12,0,3,0,0,57,3,0,127,2,0,0,115,0,0,0,17,0,13,0,304,2,0,0,12
ARTHROPODA,Ephemeroptera,Oligoneuriidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHROPODA,Ephemeroptera,Polymitarcyidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHROPODA,Ephemeroptera,Potamanthidae,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHROPODA,Ephemeroptera,Siphlonuridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHROPODA,Odonata,Aeshnidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHROPODA,Odonata,Calopterygidae,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,1,1,0,0,2,1,0,0,0,1,0,2,1,0,0,0,0,28,0,1,1,0,0,17,2,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,2,0,0,10,0,1,3,0,0,1
ARTHROPODA,Odonata,Coenagrionidae,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
